年,週,都道府県,エボラ出血熱_報告,エボラ出血熱_累積,クリミア・コンゴ出血熱_報告,クリミア・コンゴ出血熱_累積,痘そう_報告,痘そう_累積,南米出血熱_報告,南米出血熱_累積,ペスト_報告,ペスト_累積,マールブルグ病_報告,マールブルグ病_累積,ラッサ熱_報告,ラッサ熱_累積,急性灰白髄炎_報告,急性灰白髄炎_累積,結核_報告,結核_累積,ジフテリア_報告,ジフテリア_累積,重症急性呼吸器症候群_報告,重症急性呼吸器症候群_累積,鳥インフルエンザ（Ｈ５Ｎ１）_報告,鳥インフルエンザ（Ｈ５Ｎ１）_累積,鳥インフルエンザ（Ｈ７Ｎ９）_報告,鳥インフルエンザ（Ｈ７Ｎ９）_累積,コレラ_報告,コレラ_累積,細菌性赤痢_報告,細菌性赤痢_累積,腸管出血性大腸菌感染症_報告,腸管出血性大腸菌感染症_累積,腸チフス_報告,腸チフス_累積,パラチフス_報告,パラチフス_累積,Ｅ型肝炎_報告,Ｅ型肝炎_累積,ウエストナイル熱_報告,ウエストナイル熱_累積,Ａ型肝炎_報告,Ａ型肝炎_累積,エキノコックス症_報告,エキノコックス症_累積,黄熱_報告,黄熱_累積,オウム病_報告,オウム病_累積,オムスク出血熱_報告,オムスク出血熱_累積,回帰熱_報告,回帰熱_累積,キャサヌル森林病_報告,キャサヌル森林病_累積,Ｑ熱_報告,Ｑ熱_累積,狂犬病_報告,狂犬病_累積,コクシジオイデス症_報告,コクシジオイデス症_累積,サル痘_報告,サル痘_累積,重症熱性血小板減少症候群_報告,重症熱性血小板減少症候群_累積,腎症候性出血熱_報告,腎症候性出血熱_累積,西部ウマ脳炎_報告,西部ウマ脳炎_累積,ダニ媒介脳炎_報告,ダニ媒介脳炎_累積,炭疽_報告,炭疽_累積,チクングニア熱_報告,チクングニア熱_累積,つつが虫病_報告,つつが虫病_累積,デング熱_報告,デング熱_累積,東部ウマ脳炎_報告,東部ウマ脳炎_累積,鳥インフルエンザ(Ｈ５Ｎ１を除く）_報告,鳥インフルエンザ(Ｈ５Ｎ１を除く）_累積,ニパウイルス感染症_報告,ニパウイルス感染症_累積,日本紅斑熱_報告,日本紅斑熱_累積,日本脳炎_報告,日本脳炎_累積,ハンタウイルス肺症候群_報告,ハンタウイルス肺症候群_累積,Ｂウイルス病_報告,Ｂウイルス病_累積,鼻疽_報告,鼻疽_累積,ブルセラ症_報告,ブルセラ症_累積,ベネズエラウマ脳炎_報告,ベネズエラウマ脳炎_累積,ヘンドラウイルス感染症_報告,ヘンドラウイルス感染症_累積,発しんチフス_報告,発しんチフス_累積,ボツリヌス症_報告,ボツリヌス症_累積,マラリア_報告,マラリア_累積,野兎病_報告,野兎病_累積,ライム病_報告,ライム病_累積,リッサウイルス感染症_報告,リッサウイルス感染症_累積,リフトバレー熱_報告,リフトバレー熱_累積,類鼻疽_報告,類鼻疽_累積,レジオネラ症_報告,レジオネラ症_累積,レプトスピラ症_報告,レプトスピラ症_累積,ロッキー山紅斑熱_報告,ロッキー山紅斑熱_累積,アメーバ赤痢_報告,アメーバ赤痢_累積,ウイルス性肝炎_報告,ウイルス性肝炎_累積,急性脳炎_報告,急性脳炎_累積,クリプトスポリジウム症_報告,クリプトスポリジウム症_累積,クロイツフェルト・ヤコブ病_報告,クロイツフェルト・ヤコブ病_累積,劇症型溶血性レンサ球菌感染症_報告,劇症型溶血性レンサ球菌感染症_累積,後天性免疫不全症候群_報告,後天性免疫不全症候群_累積,ジアルジア症_報告,ジアルジア症_累積,侵襲性インフルエンザ菌感染症_報告,侵襲性インフルエンザ菌感染症_累積,侵襲性髄膜炎菌感染症_報告,侵襲性髄膜炎菌感染症_累積,侵襲性肺炎球菌感染症_報告,侵襲性肺炎球菌感染症_累積,先天性風しん症候群_報告,先天性風しん症候群_累積,梅毒_報告,梅毒_累積,破傷風_報告,破傷風_累積,バンコマイシン耐性黄色ブドウ球菌感染症_報告,バンコマイシン耐性黄色ブドウ球菌感染症_累積,バンコマイシン耐性腸球菌感染症_報告,バンコマイシン耐性腸球菌感染症_累積,風しん_報告,風しん_累積,麻しん_報告,麻しん_累積
2014,22,群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,7,0,3,0,5,0,0,0,0,0,1,0,10,1,1,0,1,0,1,1,20,0,0,0,5,0,2,0,0,1,2,0,0,0,3
2014,22,埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,463,0,0,0,0,0,0,0,0,0,0,0,1,2,23,0,0,0,1,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,18,0,4,0,12,0,0,0,2,0,0,0,15,0,0,0,4,0,1,2,46,0,0,1,13,0,2,0,0,0,4,0,7,0,24
2014,22,千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,557,0,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,1,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,13,0,3,0,24,0,0,0,4,0,2,2,24,0,0,0,5,0,1,0,26,0,0,2,26,0,2,0,0,0,0,0,8,0,24
2014,22,東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1488,0,0,0,0,0,0,0,0,0,0,0,15,4,52,0,9,0,2,0,13,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,1,85,0,19,0,17,0,4,0,3,2,23,7,184,0,7,2,12,0,3,2,112,0,3,8,184,0,4,0,0,0,3,1,55,0,72
2014,22,神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,689,0,0,0,0,0,0,0,0,0,0,1,2,1,13,0,0,0,1,1,6,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,35,0,1,0,0,1,40,0,4,0,13,0,0,0,7,0,10,2,38,0,0,1,6,0,1,2,94,0,0,0,38,0,2,0,0,1,3,2,55,3,25
2014,22,新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,128,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2,0,0,0,5,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,30,0,1,1,5,0,1,0,0,0,1,0,1,0,1
2014,22,富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,3,0,4,0,1,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,1,0,0
2014,22,石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,0,3,0,1,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0
2014,22,福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,22,山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2014,22,長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,2,9,0,2,0,1,0,0,0,2,1,3,1,3,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2014,22,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,163,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,4,0,0,2,12,0,0,0,2,0,0,0,0,0,1,0,1,0,2
2014,22,静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,227,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,9,0,1,2,10,0,0,0,2,0,3,1,8,0,0,0,1,0,0,1,25,0,0,0,12,0,3,0,0,0,1,0,4,0,29
2014,22,愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,719,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,3,32,0,4,0,6,0,0,0,6,0,7,0,40,0,1,0,7,0,1,3,57,0,0,2,59,0,0,0,0,0,0,0,13,1,32
2014,22,三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,124,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,4,0,1,0,2,0,0,0,21,0,0,0,7,0,0,0,0,0,0,0,7,0,0
2014,22,滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,4,1,4,0,1,0,2,0,0,1,13,0,0,1,3,0,1,0,0,0,0,0,0,0,1
2014,22,京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,254,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,7,0,0,0,2,0,0,0,1,0,2,0,4,0,1,0,3,0,0,1,24,0,0,0,5,0,1,0,0,0,0,0,1,0,22
2014,22,大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,602,0,0,0,0,0,0,0,0,0,0,0,4,1,20,1,3,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,2,48,0,13,0,13,0,2,0,2,0,4,2,80,0,4,0,6,0,2,3,67,0,1,3,76,0,0,0,0,0,0,1,10,1,28
2014,22,兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,358,0,0,0,0,0,0,0,0,0,0,1,4,3,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,7,0,8,0,0,0,0,0,5,0,13,1,2,0,6,0,1,0,55,0,1,0,5,0,1,0,0,0,0,0,3,0,10
2014,22,奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,3,0,1
