年,週,都道府県,エボラ出血熱_報告,エボラ出血熱_累積,クリミア・コンゴ出血熱_報告,クリミア・コンゴ出血熱_累積,痘そう_報告,痘そう_累積,南米出血熱_報告,南米出血熱_累積,ペスト_報告,ペスト_累積,マールブルグ病_報告,マールブルグ病_累積,ラッサ熱_報告,ラッサ熱_累積,急性灰白髄炎_報告,急性灰白髄炎_累積,結核_報告,結核_累積,ジフテリア_報告,ジフテリア_累積,重症急性呼吸器症候群_報告,重症急性呼吸器症候群_累積,中東呼吸器症候群_報告,中東呼吸器症候群_累積,鳥インフルエンザ（Ｈ５Ｎ１）_報告,鳥インフルエンザ（Ｈ５Ｎ１）_累積,鳥インフルエンザ（Ｈ７Ｎ９）_報告,鳥インフルエンザ（Ｈ７Ｎ９）_累積,コレラ_報告,コレラ_累積,細菌性赤痢_報告,細菌性赤痢_累積,腸管出血性大腸菌感染症_報告,腸管出血性大腸菌感染症_累積,腸チフス_報告,腸チフス_累積,パラチフス_報告,パラチフス_累積,Ｅ型肝炎_報告,Ｅ型肝炎_累積,ウエストナイル熱_報告,ウエストナイル熱_累積,Ａ型肝炎_報告,Ａ型肝炎_累積,エキノコックス症_報告,エキノコックス症_累積,エムポックス_報告,エムポックス_累積,黄熱_報告,黄熱_累積,オウム病_報告,オウム病_累積,オムスク出血熱_報告,オムスク出血熱_累積,回帰熱_報告,回帰熱_累積,キャサヌル森林病_報告,キャサヌル森林病_累積,Ｑ熱_報告,Ｑ熱_累積,狂犬病_報告,狂犬病_累積,コクシジオイデス症_報告,コクシジオイデス症_累積,ジカウイルス感染症_報告,ジカウイルス感染症_累積,重症熱性血小板減少症候群_報告,重症熱性血小板減少症候群_累積,腎症候性出血熱_報告,腎症候性出血熱_累積,西部ウマ脳炎_報告,西部ウマ脳炎_累積,ダニ媒介脳炎_報告,ダニ媒介脳炎_累積,炭疽_報告,炭疽_累積,チクングニア熱_報告,チクングニア熱_累積,つつが虫病_報告,つつが虫病_累積,デング熱_報告,デング熱_累積,東部ウマ脳炎_報告,東部ウマ脳炎_累積,鳥インフルエンザ(Ｈ５Ｎ１を除く）_報告,鳥インフルエンザ(Ｈ５Ｎ１を除く）_累積,ニパウイルス感染症_報告,ニパウイルス感染症_累積,日本紅斑熱_報告,日本紅斑熱_累積,日本脳炎_報告,日本脳炎_累積,ハンタウイルス肺症候群_報告,ハンタウイルス肺症候群_累積,Ｂウイルス病_報告,Ｂウイルス病_累積,鼻疽_報告,鼻疽_累積,ブルセラ症_報告,ブルセラ症_累積,ベネズエラウマ脳炎_報告,ベネズエラウマ脳炎_累積,ヘンドラウイルス感染症_報告,ヘンドラウイルス感染症_累積,発しんチフス_報告,発しんチフス_累積,ボツリヌス症_報告,ボツリヌス症_累積,マラリア_報告,マラリア_累積,野兎病_報告,野兎病_累積,ライム病_報告,ライム病_累積,リッサウイルス感染症_報告,リッサウイルス感染症_累積,リフトバレー熱_報告,リフトバレー熱_累積,類鼻疽_報告,類鼻疽_累積,レジオネラ症_報告,レジオネラ症_累積,レプトスピラ症_報告,レプトスピラ症_累積,ロッキー山紅斑熱_報告,ロッキー山紅斑熱_累積,アメーバ赤痢_報告,アメーバ赤痢_累積,ウイルス性肝炎_報告,ウイルス性肝炎_累積,カルバペネム耐性腸内細菌目細菌感染症_報告,カルバペネム耐性腸内細菌目細菌感染症_累積,急性弛緩性麻痺_報告,急性弛緩性麻痺_累積,急性脳炎_報告,急性脳炎_累積,クリプトスポリジウム症_報告,クリプトスポリジウム症_累積,クロイツフェルト・ヤコブ病_報告,クロイツフェルト・ヤコブ病_累積,劇症型溶血性レンサ球菌感染症_報告,劇症型溶血性レンサ球菌感染症_累積,後天性免疫不全症候群_報告,後天性免疫不全症候群_累積,ジアルジア症_報告,ジアルジア症_累積,侵襲性インフルエンザ菌感染症_報告,侵襲性インフルエンザ菌感染症_累積,侵襲性髄膜炎菌感染症_報告,侵襲性髄膜炎菌感染症_累積,侵襲性肺炎球菌感染症_報告,侵襲性肺炎球菌感染症_累積,水痘（入院例）_報告,水痘（入院例）_累積,先天性風しん症候群_報告,先天性風しん症候群_累積,梅毒_報告,梅毒_累積,播種性クリプトコックス症_報告,播種性クリプトコックス症_累積,破傷風_報告,破傷風_累積,バンコマイシン耐性黄色ブドウ球菌感染症_報告,バンコマイシン耐性黄色ブドウ球菌感染症_累積,バンコマイシン耐性腸球菌感染症_報告,バンコマイシン耐性腸球菌感染症_累積,百日咳_報告,百日咳_累積,風しん_報告,風しん_累積,麻しん_報告,麻しん_累積,薬剤耐性アシネトバクター感染症_報告,薬剤耐性アシネトバクター感染症_累積
2025,31,群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,99,0,0,0,0,1,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27,0,0,0,0,1,2,0,4,0,8,0,0,0,6,0,0,0,2,0,14,0,7,0,0,1,5,0,0,0,26,0,4,0,0,1,86,0,3,1,2,0,0,0,1,199,1816,0,0,0,4,0,0
2025,31,埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,82,0,1,0,0,2,22,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0,0,4,0,5,2,48,1,1,1,20,0,1,2,9,3,44,2,23,0,0,1,16,0,2,1,111,1,17,0,0,10,325,0,3,0,3,0,0,0,3,261,3132,0,0,0,9,0,0
2025,31,千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,452,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,96,0,4,0,0,1,34,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,0,1,0,0,0,12,0,8,0,26,0,0,2,43,0,0,0,3,2,42,2,29,0,0,1,21,0,3,1,125,1,18,0,0,8,260,0,5,0,2,0,0,0,2,167,2416,0,0,1,18,0,1
2025,31,東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,190,0,4,1,2,3,95,0,0,0,11,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,4,107,0,1,0,0,0,55,0,35,2,83,1,1,0,20,0,4,0,6,1,87,5,149,0,12,0,49,1,12,3,268,0,64,0,0,53,2124,0,14,1,5,0,0,1,6,299,4433,0,1,2,27,0,0
2025,31,神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,501,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,129,0,2,0,1,3,49,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0,0,28,0,9,2,59,0,0,0,13,0,0,0,5,2,61,1,45,1,2,1,38,0,3,2,180,0,26,0,0,13,456,0,12,0,3,0,0,0,0,181,2405,0,0,0,39,0,1
2025,31,新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,4,0,3,0,18,0,0,0,4,0,0,0,2,1,19,0,2,0,0,0,7,0,0,0,28,0,3,0,0,4,69,0,2,0,2,0,0,0,1,118,3151,0,0,0,0,0,0
2025,31,富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,9,0,0,0,2,0,0,0,0,0,8,0,1,0,1,0,6,0,0,0,31,0,2,0,0,0,28,0,0,0,0,0,0,0,0,25,543,0,1,0,0,0,0
2025,31,石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,13,0,0,0,3,0,0,0,3,1,7,0,0,0,0,0,6,0,0,0,27,0,4,0,0,1,41,0,1,0,0,0,0,0,0,66,673,0,0,0,0,0,0
2025,31,福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,5,0,2,0,0,0,2,0,0,1,15,0,3,0,0,1,29,0,0,0,0,0,0,0,0,18,596,0,0,0,1,0,0
2025,31,山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,4,0,7,0,1,0,0,0,3,0,0,0,12,0,2,0,0,1,29,0,0,0,1,0,0,0,0,20,251,0,0,0,0,0,0
2025,31,長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,1,6,0,1,0,7,0,1,0,9,0,0,0,2,0,14,0,2,0,1,0,9,0,2,0,26,0,6,0,0,0,52,0,2,0,1,0,0,0,1,92,1048,0,0,0,1,0,0
2025,31,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,2,0,8,0,1,0,3,0,0,0,0,0,19,0,6,0,0,1,7,0,0,1,30,0,11,0,0,4,122,0,0,0,1,0,0,0,0,40,656,0,0,0,3,0,0
2025,31,静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,0,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0,0,7,0,2,1,7,0,0,1,20,0,0,0,3,0,15,1,10,0,0,0,12,0,0,0,84,0,9,0,0,4,190,0,3,0,0,0,0,0,5,76,1015,0,1,0,2,0,0
2025,31,愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,101,0,1,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,96,0,0,0,0,0,20,0,3,1,56,0,1,1,22,0,1,0,7,0,61,2,33,0,0,2,37,0,4,3,183,0,30,0,0,12,508,0,7,0,4,0,0,0,0,154,1975,0,0,0,10,0,1
2025,31,三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,13,0,3,0,4,0,0,0,3,0,18,0,4,0,0,0,5,0,1,0,31,0,4,0,0,1,72,0,3,0,0,0,0,0,0,50,732,0,0,0,2,0,1
2025,31,滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,1,1,20,1,3,0,0,0,10,0,1,0,34,1,3,0,0,1,44,0,2,0,0,0,0,0,2,27,536,0,0,0,2,0,0
