年,週,都道府県,エボラ出血熱_報告,エボラ出血熱_累積,クリミア・コンゴ出血熱_報告,クリミア・コンゴ出血熱_累積,痘そう_報告,痘そう_累積,南米出血熱_報告,南米出血熱_累積,ペスト_報告,ペスト_累積,マールブルグ病_報告,マールブルグ病_累積,ラッサ熱_報告,ラッサ熱_累積,急性灰白髄炎_報告,急性灰白髄炎_累積,結核_報告,結核_累積,ジフテリア_報告,ジフテリア_累積,重症急性呼吸器症候群_報告,重症急性呼吸器症候群_累積,鳥インフルエンザ（Ｈ５Ｎ１）_報告,鳥インフルエンザ（Ｈ５Ｎ１）_累積,鳥インフルエンザ（Ｈ７Ｎ９）_報告,鳥インフルエンザ（Ｈ７Ｎ９）_累積,コレラ_報告,コレラ_累積,細菌性赤痢_報告,細菌性赤痢_累積,腸管出血性大腸菌感染症_報告,腸管出血性大腸菌感染症_累積,腸チフス_報告,腸チフス_累積,パラチフス_報告,パラチフス_累積,Ｅ型肝炎_報告,Ｅ型肝炎_累積,ウエストナイル熱_報告,ウエストナイル熱_累積,Ａ型肝炎_報告,Ａ型肝炎_累積,エキノコックス症_報告,エキノコックス症_累積,黄熱_報告,黄熱_累積,オウム病_報告,オウム病_累積,オムスク出血熱_報告,オムスク出血熱_累積,回帰熱_報告,回帰熱_累積,キャサヌル森林病_報告,キャサヌル森林病_累積,Ｑ熱_報告,Ｑ熱_累積,狂犬病_報告,狂犬病_累積,コクシジオイデス症_報告,コクシジオイデス症_累積,サル痘_報告,サル痘_累積,重症熱性血小板減少症候群_報告,重症熱性血小板減少症候群_累積,腎症候性出血熱_報告,腎症候性出血熱_累積,西部ウマ脳炎_報告,西部ウマ脳炎_累積,ダニ媒介脳炎_報告,ダニ媒介脳炎_累積,炭疽_報告,炭疽_累積,チクングニア熱_報告,チクングニア熱_累積,つつが虫病_報告,つつが虫病_累積,デング熱_報告,デング熱_累積,東部ウマ脳炎_報告,東部ウマ脳炎_累積,鳥インフルエンザ(Ｈ５Ｎ１を除く）_報告,鳥インフルエンザ(Ｈ５Ｎ１を除く）_累積,ニパウイルス感染症_報告,ニパウイルス感染症_累積,日本紅斑熱_報告,日本紅斑熱_累積,日本脳炎_報告,日本脳炎_累積,ハンタウイルス肺症候群_報告,ハンタウイルス肺症候群_累積,Ｂウイルス病_報告,Ｂウイルス病_累積,鼻疽_報告,鼻疽_累積,ブルセラ症_報告,ブルセラ症_累積,ベネズエラウマ脳炎_報告,ベネズエラウマ脳炎_累積,ヘンドラウイルス感染症_報告,ヘンドラウイルス感染症_累積,発しんチフス_報告,発しんチフス_累積,ボツリヌス症_報告,ボツリヌス症_累積,マラリア_報告,マラリア_累積,野兎病_報告,野兎病_累積,ライム病_報告,ライム病_累積,リッサウイルス感染症_報告,リッサウイルス感染症_累積,リフトバレー熱_報告,リフトバレー熱_累積,類鼻疽_報告,類鼻疽_累積,レジオネラ症_報告,レジオネラ症_累積,レプトスピラ症_報告,レプトスピラ症_累積,ロッキー山紅斑熱_報告,ロッキー山紅斑熱_累積,アメーバ赤痢_報告,アメーバ赤痢_累積,ウイルス性肝炎_報告,ウイルス性肝炎_累積,急性脳炎_報告,急性脳炎_累積,クリプトスポリジウム症_報告,クリプトスポリジウム症_累積,クロイツフェルト・ヤコブ病_報告,クロイツフェルト・ヤコブ病_累積,劇症型溶血性レンサ球菌感染症_報告,劇症型溶血性レンサ球菌感染症_累積,後天性免疫不全症候群_報告,後天性免疫不全症候群_累積,ジアルジア症_報告,ジアルジア症_累積,侵襲性インフルエンザ菌感染症_報告,侵襲性インフルエンザ菌感染症_累積,侵襲性髄膜炎菌感染症_報告,侵襲性髄膜炎菌感染症_累積,侵襲性肺炎球菌感染症_報告,侵襲性肺炎球菌感染症_累積,先天性風しん症候群_報告,先天性風しん症候群_累積,梅毒_報告,梅毒_累積,破傷風_報告,破傷風_累積,バンコマイシン耐性黄色ブドウ球菌感染症_報告,バンコマイシン耐性黄色ブドウ球菌感染症_累積,バンコマイシン耐性腸球菌感染症_報告,バンコマイシン耐性腸球菌感染症_累積,風しん_報告,風しん_累積,麻しん_報告,麻しん_累積,髄膜炎菌性髄膜炎_報告,髄膜炎菌性髄膜炎_累積
2013,35,群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,170,0,0,0,0,0,0,0,0,0,0,0,1,2,64,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,0,1,7,0,0,1,1,0,0,0,4,0,2,0,12,0,0,0,1,0,0,0,15,0,0,0,8,0,5,0,0,0,0,0,54,0,0,0,0
2013,35,埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,833,0,0,0,0,0,0,0,0,0,0,0,4,2,134,0,3,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,24,0,3,1,25,0,0,0,7,0,5,1,27,0,1,0,1,0,1,0,27,0,0,0,20,0,3,0,0,0,6,4,594,0,27,0,0
2013,35,千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,850,0,0,0,0,0,0,0,0,0,0,0,2,6,87,0,5,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,15,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0,0,46,0,3,0,24,0,0,0,4,0,8,0,49,0,3,0,4,0,1,0,25,0,1,1,36,0,5,0,0,0,1,2,695,0,20,0,0
2013,35,東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2641,0,0,0,0,0,0,0,0,0,0,2,22,12,248,0,13,0,16,0,21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,0,0,0,0,0,1,1,47,0,2,0,0,1,134,0,52,0,32,0,2,0,11,0,24,7,305,1,15,1,7,0,7,0,61,0,8,12,282,0,3,0,0,0,7,13,3317,0,57,0,0
2013,35,神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1199,0,0,0,0,0,0,0,0,0,0,0,8,1,119,0,5,0,6,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,36,0,2,0,0,0,65,0,12,0,10,0,0,0,7,0,14,1,74,0,3,1,6,0,1,0,56,0,1,2,47,0,5,0,0,1,4,3,1631,1,29,0,1
2013,35,新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,244,0,0,0,0,0,0,0,0,0,0,0,1,2,41,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,1,0,0,0,13,0,1,0,9,0,0,0,0,0,3,0,8,0,1,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,43,0,1,0,0
2013,35,富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,135,0,0,0,0,0,0,0,0,0,0,0,7,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,6,0,4,1,3,0,0,0,1,0,6,0,3,0,0,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0
2013,35,石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,133,0,0,0,0,0,0,0,0,0,0,0,1,2,41,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,6,0,1,0,2,0,0,0,4,0,2,0,6,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,26,0,0,0,0
2013,35,福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,1,2,0,1,0,0,0,0,0,20,0,0,0,0
2013,35,山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,0,0,0
2013,35,長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,226,0,0,0,0,0,0,0,0,0,0,0,4,0,47,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,12,1,6,0,3,0,0,0,1,0,4,0,12,0,1,0,0,0,0,0,12,0,0,0,8,0,3,0,0,0,0,0,60,0,0,0,0
2013,35,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,314,0,0,0,0,0,0,0,0,0,0,0,2,1,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,9,0,0,2,2,0,0,0,6,0,2,1,13,0,1,0,1,0,0,0,16,0,0,0,2,0,0,0,0,0,0,2,23,0,0,0,0
2013,35,静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,426,0,0,0,0,0,0,0,0,0,0,0,1,2,63,0,1,0,0,0,4,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,16,0,3,0,10,0,0,0,3,0,6,0,28,0,1,0,2,0,0,1,12,0,0,0,15,0,2,0,0,0,2,0,148,0,4,0,0
2013,35,愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1257,0,0,0,0,0,0,0,0,0,0,3,13,16,126,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,45,0,9,0,21,0,0,0,9,0,6,0,57,0,1,0,5,0,0,0,47,0,2,2,35,0,1,0,0,0,6,4,327,2,12,0,0
2013,35,三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,213,0,0,0,0,0,0,0,0,0,0,0,1,4,56,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,4,0,3,0,2,0,0,0,0,0,2,0,8,0,0,0,1,0,1,1,3,0,0,0,5,1,1,0,0,0,0,3,96,0,4,0,0
2013,35,滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,190,0,0,0,0,0,0,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,3,1,9,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,120,0,1,0,0
2013,35,京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,420,0,0,0,0,0,0,0,0,0,0,0,4,3,43,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,14,0,7,0,2,0,0,0,2,0,0,0,14,0,0,0,1,0,0,0,8,0,0,1,8,0,2,0,0,0,0,1,318,0,5,0,0
2013,35,大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1195,0,0,0,0,0,0,0,0,0,0,2,8,11,89,0,0,0,1,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,4,73,0,18,0,20,0,0,0,10,0,6,6,134,1,4,0,1,0,1,2,26,0,1,2,104,0,3,0,0,0,6,8,3139,0,15,0,1
2013,35,兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,905,0,0,0,0,0,0,0,0,0,1,0,1,7,111,0,3,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,26,0,0,0,0,1,32,0,7,0,1,0,0,0,9,0,10,0,37,0,5,0,4,0,0,0,25,0,0,0,27,0,3,0,0,0,0,6,1149,0,8,0,0
